1109,信  大
4303,信  立
3023,信  邦
6126,信  音
9940,信  義
1582,信  錦
5274,信  驊
4725,信昌化
6173,信昌電
6667,信紘科
6721,信實保
5457,宣  德
2646,星  宇
3025,星  通
8047,星  雲
6130,星  寶
2722,夏  都
3047,訊  舟
4155,訊  映
5203,訊  連
6140,訊  達
1784,訊  聯
6451,訊芯KY
6703,軒  郁
5269,祥  碩
6676,祥  翊
3485,敘  豐
5531,鄉  林
8091,翔  名
2438,翔  耀
3293,鈊  象
2073,雄  順
2731,雄  獅
2420,新  巨
5432,新  門
2516,新  建
9925,新  保
3171,新  洲
4919,新  唐
9926,新  海
1419,新  紡
5481,新  華
1580,新  麥
6121,新  普
3713,新  晶
5209,新  鼎
8234,新  漢
6186,新  潤
2605,新  興
2032,新  鋼
9944,新  麗
1409,新  纖
6810,新  穎
6507,新力美
8940,新天地
3576,新日光
3376,新日興
3383,新世紀
2888,新光金
2850,新光產
2031,新光鋼
3679,新至陞
4406,新昕纖
2442,新美齊
4931,新盛力
3144,新揚科
3713,新晶投
3630,新鉅科
4909,新復興
3085,新零售
4749,新應材
6780,學習王
4433,興  采
1235,興  泰
2428,興  勤
1712,興  農
6558,興能高
2542,興富發
1256,鮮活KY
6906,現觀科
4999,鑫  禾
4170,鑫  品
3663,鑫  科
6856,鑫  傳
3259,鑫  創
6680,鑫  創
2114,鑫永銓
3709,鑫聯大
3188,鑫龍騰
2515,中  工
1701,中  化
4128,中  天
1535,中  宇
1560,中  砂
2612,中  航
2204,中  華
5403,中  菲
9928,中  視
4147,中  裕
1809,中  釉
9933,中  鼎
1611,中  電
2823,中  壽
1723,中  碳
2104,中  橡
5388,中  磊
2002,中  鋼
2323,中  環
2014,中  鴻
2613,中  櫃
1718,中  纖
51,中 100
1762,中化生
1314,中石化
5371,中光電
2851,中再保
9917,中保科
2891,中信金
2644,中信造
5483,中美晶
4702,中美實
5871,中租KY
1727,中華化
4205,中華食
2412,中華電
5604,中連運
6217,中探針
5609,中菲行
6668,中揚光
1513,中興電
2013,中鋼構
9930,中聯資
4906,正  文
8147,正  淩
1904,正  隆
2392,正  崴
1506,正  道
6546,正  基
3149,正  達
2105,正  新
2641,正  德
6534,正  瀚
1538,正峰新
2419,仲  琦
3548,兆  利
2444,兆  勁
4944,兆  遠
2485,兆  赫
2886,兆豐金
3543,州  巧
6739,竹  陞
8112,至  上
4535,至  興
3226,至寶電
2642,宅配通
8067,志  旭
2611,志  信
8213,志  超
2467,志  聖
2024,志  聯
3206,志  豐
6768,志強KY
2496,卓  越
1597,直  得
7551,知識科
8481,政  伸
1339,昭  輝
3434,哲  固
1776,展  宇
3447,展  達
6776,展  碁
6594,展匯科
4441,振  大
2947,振  宇
5426,振  發
6143,振  曜
6705,振  躍
8114,振樺電
4915,致  伸
2360,致  茂
3466,致  振
8081,致  新
5864,致和證
6819,眾  智
4977,眾達KY
3168,眾福科
2345,智  邦
3596,智  易
5478,智  冠
3035,智  原
6294,智  基
8176,智  捷
5263,智  崴
5245,智  晶
4925,智  微
4162,智  擎
6751,智  聯
4551,智伸科
2030,彰  源
2801,彰  銀
2373,震旦行
2071,震南鐵
4572,駐  龍
4958,臻鼎KY
1516,川  飛
2059,川  湖
1595,川  寶
9934,成  霖
2938,床世界
1533,車  王
2425,承  啟
4164,承  業
4546,長  亨
4550,長 佳
6841,長 佳
5534,長  虹
8070,長  華
3492,長  盛
6712,長  聖
2603,長  榮
1717,長  興
6548,長科*
8038,長園科
2618,長榮航
2211,長榮鋼
4544,春  日
2012,春  雨
2010,春  源
1468,昶  和
8438,昶  昕
4529,淳  紳
6283,淳  安
3555,重  鵬
1568,倉  佑
6538,倉  和
4541,晟  田
3229,晟  鈦
3631,晟  楠
4123,晟  德
3013,晟銘電
4506,崇  友
5434,崇  越
3388,崇越電
5543,F-崇佑
8097,常  珵
6730,常  廣
2451,創  見
6530,創  威
6104,創  惟
6899,創  為
3443,創  意
8477,創業家
4160,創  源
1583,程  泰
6898,程曦資
2441,超  豐
4994,傳  奇
3494,誠  研
3536,誠  創
2926,誠品生
4960,誠美材
4767,誠泰科
4554,橙  的
1541,錩  泰
2415,錩  新
6922,宸  曜
1271,晨暉生
4967,十  詮
6123,上  奇
4770,上  品
6728,上  洋
6222,上  揚
3363,上  詮
6128,上  福
2049,上  銀
1316,上  曜
5876,上海銀
3708,上緯控
1903,士  紙
5324,士  開
1503,士  電
2616,山  隆
2743,山  富
3595,山太士
8473,山林水
6932,水星*
3551,世  禾
4305,世  坤
5347,世  界
5314,世  紀
7595,世  基
2066,世  德
2065,世  豐
2063,世  鎧
3661,世芯KY
2072,世紀風
9958,世紀鋼
6561,是  方
8279,生  展
1777,生  泰
1720,生  達
6492,生華科
6582,申  豐
1558,伸  興
8921,沈  氏
4916,事欣科
5278,尚  凡
4738,尚  化
3360,尚  立
8291,尚  茂
6732,昇  佳
4806,昇  華
3266,昇  陽
3305,昇  貿
3128,昇  銳
5455,昇  益
8028,昇陽半
3491,昇達科
8072,陞  泰
4945,陞達科
1471,首  利
910861,神  州
6462,神  盾
3005,神  基
1789,神  隆
3706,神  達
3558,神  準
2450,神  腦
8923,時  報
4566,時碩工
8277,商  丞
8482,商億KY
8409,商之器
8403,盛  弘
3027,盛  達
4553,盛  復
6202,盛  群
2029,盛  餘
3122,笙  泉
5272,笙  科
1773,勝  一
6556,勝  品
4304,勝  昱
3296,勝  德
1340,勝悅KY
6195,詩  肯
5525,順  天
6154,順  發
2351,順  德
6535,順  藥
3211,順達科
5536,聖  暉
6926,聖安生
8416,實  威
3617,碩  天
3691,碩  禾
6536,碩  豐
7547,碩  網
5287,數  字
6855,數泓科
1604,聲  寶
6506,雙  邦
4728,雙  美
5516,雙  喜
3324,雙  鴻
4764,雙  鍵
6782,視  陽
4115,善  德
6696,仁  新
2324,仁  寶
8341,日  友
1594,日  高
6208,日  揚
1526,日  馳
3711,日月光
00640L,日本2X
00641R,日本反
4807,日成KY
5820,日盛金
1735,日勝化
2547,日勝生
3090,日電貿
6514,芮特KY
1512,瑞  利
2379,瑞  昱
6532,瑞  耘
2489,瑞  軒
4171,瑞  基
